Timestamp,Select all the things you've done in the past 24hours.
2022-04-28 09:18:20,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 09:16:26,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Played mobile games"
2022-04-28 09:20:42,"Slept, Eaten food, Cooked food"
2022-04-28 09:21:16,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Pokemon"
2022-04-28 09:21:57,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Video Games"
2022-04-28 09:24:44,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), lifted weights"
2022-04-28 09:25:24,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Watched football"
2022-04-28 09:26:21,"Slept, Eaten food, Gone to work"
2022-04-28 09:27:09,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 09:30:13,"Slept, Eaten food, Gone to work, Commuted for work"
2022-04-28 09:33:21,"Slept, Eaten food, Gone to work"
2022-04-28 09:37:41,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 09:37:24,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), video games"
2022-04-28 09:38:11,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Coding/programming - but is it really relaxing?"
2022-04-28 09:39:57,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 09:40:50,"Slept, Commuted for work, Other"
2022-04-28 09:51:54,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 09:54:14,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work"
2022-04-28 10:08:06,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Mountain biking"
2022-04-28 10:09:57,"Slept, Eaten food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Diabetes"
2022-04-28 10:21:40,"Slept, Eaten food"
2022-04-28 10:22:42,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Reading"
2022-04-28 10:29:41,"Slept, Eaten food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Stroll outside"
2022-04-28 10:32:38,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Playing the guitar and embrodering (not at the same time lol)"
2022-04-28 10:33:31,"Slept, Eaten food, Cooked food"
2022-04-28 10:37:42,"Slept, Eaten food"
2022-04-28 10:39:51,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), tennis"
2022-04-28 10:53:59,"Slept, Eaten food, Cooked food, Gone to work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Furniture restoration"
2022-04-28 10:54:34,"Slept, Eaten food, Cooked food"
2022-04-28 10:55:35,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), TV"
2022-04-28 11:01:05,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Amateur R"
2022-04-28 11:04:39,"Slept, Eaten food, Gone to work"
2022-04-28 11:10:21,"Slept, Eaten food, Cooked food, Basketball"
2022-04-28 11:16:48,"Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), working"
2022-04-28 11:42:09,"Slept, Eaten food, Cooked food"
2022-04-28 11:44:12,"Slept, Eaten food, Cooked food, Gone to work"
2022-04-28 11:46:46,"Slept, Eaten food, Cooked food, Gone to work, Commuted for work, Nature walks"
2022-04-28 11:57:17,"Slept, Eaten food, Cooked food, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Warched TV"
2022-04-28 12:04:51,"Slept, Eaten food, Gone to work, Commuted for work, Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD), Watching Series"
