"start_date","row_id","slept","eaten_food","cooked_food","gone_to_work","commuted_for_work","relaxed_with_a_hobby_tell_us_the_hobby_by_typing_in_the_other_field","other_whats_your_hobby"
"2022-04-28 09:18:20",1,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 09:16:26",2,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:20:42",3,"Slept","Eaten food","Cooked food","","","",""
"2022-04-28 09:21:16",4,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:21:57",5,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:24:44",6,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:25:24",7,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:26:21",8,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 09:27:09",9,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 09:30:13",10,"Slept","Eaten food","","Gone to work","Commuted for work","",""
"2022-04-28 09:33:21",11,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 09:37:41",12,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 09:37:24",13,"Slept","Eaten food","Cooked food","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:38:11",14,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:39:57",15,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 09:40:50",16,"Slept","","","","Commuted for work","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 09:51:54",17,"Slept","Eaten food","Cooked food","Gone to work","","",""
"2022-04-28 09:54:14",18,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","",""
"2022-04-28 10:08:06",19,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:09:57",20,"Slept","Eaten food","","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:21:40",21,"Slept","Eaten food","","","","",""
"2022-04-28 10:22:42",22,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:29:41",23,"Slept","Eaten food","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:32:38",24,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:33:31",25,"Slept","Eaten food","Cooked food","","","",""
"2022-04-28 10:37:42",26,"Slept","Eaten food","","","","",""
"2022-04-28 10:39:51",27,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:53:59",28,"Slept","Eaten food","Cooked food","Gone to work","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 10:54:34",29,"Slept","Eaten food","Cooked food","","","",""
"2022-04-28 10:55:35",30,"Slept","Eaten food","","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 11:01:05",31,"Slept","Eaten food","Cooked food","Gone to work","Commuted for work","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 11:04:39",32,"Slept","Eaten food","","Gone to work","","",""
"2022-04-28 11:10:21",33,"Slept","Eaten food","Cooked food","","","","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 11:16:48",34,"","","","","","Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD)","Other (WHAT'S YOUR HOBBY?)"
"2022-04-28 11:42:09",35,"Slept","Eaten food","Cooked food","","","",""
